t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1781381581,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381611,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381641,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381671,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381701,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381731,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381761,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381791,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381821,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381851,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381882,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381912,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381942,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781381972,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781382002,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781382032,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781382062,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781382092,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781382122,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781382152,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781382182,5,4046,1058.2,147,1680.2219198665398,263.0,2333.0,4046.0,4046.0,4046.0,4046.0
1781382510,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382541,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382571,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382601,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382631,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382661,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382691,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382721,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382751,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382781,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382811,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382841,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382871,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382901,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382931,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382961,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781382991,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781383021,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781383051,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781383081,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781383111,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781383141,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781383171,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781383201,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
1781383231,5,2990,863.0,134,1200.8355424453425,340.0,1791.5,2990.0,2990.0,2990.0,2990.0
